id	name	desc	url	type	P12078	P852
187-ride-or-die	187 Ride or Die	2005 video game	https://www.metacritic.com/game/187-ride-or-die/	Q7889	1300020868	Q14864331
1942-joint-strike	1942: Joint Strike	2008 video game	https://www.metacritic.com/game/1942-joint-strike/	Q7889	1300034845	
1950s-lawn-mower-kids	1950s Lawn Mower Kids	2011 video game	https://www.metacritic.com/game/1950s-lawn-mower-kids/	Q7889	1300116587	Q14864328
1954-alcatraz	1954: Alcatraz	2014 video game	https://www.metacritic.com/game/1954-alcatraz/	Q7889	1300221693	
1979-revolution-black-friday	1979 Revolution: Black Friday	2016 video game	https://www.metacritic.com/game/1979-revolution-black-friday/	Q7889	1300455582	
198x	198X	2019 video game	https://www.metacritic.com/game/198x/	Q7889	1300501328	
1nsane	1nsane	2001 video game	https://www.metacritic.com/game/1nsane/	Q7889	1300002549	Q14864328
2002-fifa-world-cup	2002 FIFA World Cup	2002 video game	https://www.metacritic.com/game/2002-fifa-world-cup/	Q7889	1300004345	Q14864328
2010-fifa-world-cup-south-africa	2010 FIFA World Cup South Africa	2010 video game	https://www.metacritic.com/game/2010-fifa-world-cup-south-africa/	Q7889	1300066983	Q14864328
2014-fifa-world-cup-brazil	2014 FIFA World Cup Brazil	2014 video game	https://www.metacritic.com/game/2014-fifa-world-cup-brazil/	Q7889	1300244379	Q14864328
2064-read-only-memories	2064: Read Only Memories	2017 video game	https://www.metacritic.com/game/2064-read-only-memories/	Q7889	1300297288	Q14864331
2064-read-only-memories-integral	2064: Read Only Memories INTEGRAL	2018 video game	https://www.metacritic.com/game/2064-read-only-memories-integral/	Q7889	1300482560	Q14864331
20xx	20XX	2018 video game	https://www.metacritic.com/game/20xx/	Q7889	1300372673	
24-the-game	24: The Game	2006 video game	https://www.metacritic.com/game/24-the-game/	Q7889	1300023969	Q14864331
25-to-life	25 to Life	2006 video game	https://www.metacritic.com/game/25-to-life/	Q7889	1300020885	Q14864331
2dark	2Dark	2017 video game	https://www.metacritic.com/game/2dark/	Q7889	1300452984	Q14864331
3-on-3-nhl-arcade	3 on 3 NHL Arcade	2009 video game	https://www.metacritic.com/game/3-on-3-nhl-arcade/	Q7889	1300041206	Q14864328
3000th-duel	3000th Duel	2020 video game	https://www.metacritic.com/game/3000th-duel/	Q7889	1300505884	
300-march-to-glory	300: March to Glory	2007 video game	https://www.metacritic.com/game/300-march-to-glory/	Q7889	1300026820	Q14864331
30xx	30XX	2023 video game	https://www.metacritic.com/game/30xx/	Q7889	1300512936	
3d-after-burner-ii	3D After Burner II	2015 video game	https://www.metacritic.com/game/3d-after-burner-ii/	Q7889	1300592657	
3d-dot-game-heroes	3D Dot Game Heroes	2010 video game	https://www.metacritic.com/game/3d-dot-game-heroes/	Q7889	1300054186	
3d-ultra-minigolf-adventures	3D Ultra MiniGolf Adventures	2007 video game	https://www.metacritic.com/game/3d-ultra-minigolf-adventures/	Q7889	1300028471	Q14864328
428-shibuya-scramble	428: Shibuya Scramble	2018 video game	https://www.metacritic.com/game/428-shibuya-scramble/	Q7889	1300039324	Q14864330
4pm	4PM	2014 video game	https://www.metacritic.com/game/4pm/	Q7889	1300290677	
4x4-evo-2	4X4 EVO 2	2001 video game	https://www.metacritic.com/game/4x4-evo-2/	Q7889	1300003337	Q14864328
4x4-evolution	4x4 Evolution	2000 video game	https://www.metacritic.com/game/4x4-evolution/	Q7889	1300002516	Q14864328
50-cent-blood-on-the-sand	50 Cent: Blood on the Sand	2009 video game	https://www.metacritic.com/game/50-cent-blood-on-the-sand/	Q7889	1300034999	Q14864331
50-cent-bulletproof	50 Cent: Bulletproof	2006 video game	https://www.metacritic.com/game/50-cent-bulletproof/	Q7889	1300023722	Q14864331
60-parsecs	60 Parsecs!	2018 video game	https://www.metacritic.com/game/60-parsecs/	Q7889	1300476578	
7-days-to-die	7 Days to Die	2016 video game	https://www.metacritic.com/game/7-days-to-die/	Q7889	1300225042	Q14864331
7-wonders-of-the-ancient-world	7 Wonders of the Ancient World	2007 video game	https://www.metacritic.com/game/7-wonders-of-the-ancient-world/	Q7889	1300026558	Q14864328
7554	7554	2012 video game	https://www.metacritic.com/game/7554/	Q7889	1300126713	
7th-dragon-iii-code-vfd	7th Dragon III Code: VFD	2016 video game	https://www.metacritic.com/game/7th-dragon-iii-code-vfd/	Q7889	1300446679	Q14864330
8-bit-adventure-anthology-volume-1	8-Bit Adventure Anthology: Volume 1	2017 video game	https://www.metacritic.com/game/8-bit-adventure-anthology-volume-1/	Q7889	1300477130	
8-bit-armies	8-Bit Armies	2016 video game	https://www.metacritic.com/game/8-bit-armies/	Q7889	1300455709	
8-bit-hordes	8-Bit Hordes	2019 video game	https://www.metacritic.com/game/8-bit-hordes/	Q7889	1300458833	
80-days-2005	80 Days (2005)	2005 video game	https://www.metacritic.com/game/80-days-2005/	Q7889	1300025379	Q14864330
88-heroes	88 Heroes	2017 video game	https://www.metacritic.com/game/88-heroes/	Q7889	1300459424	
88-heroes-98-heroes-edition	88 Heroes: 98 Heroes Edition	2017 video game	https://www.metacritic.com/game/88-heroes-98-heroes-edition/	Q7889	1300474072	
9-monkeys-of-shaolin	9 Monkeys of Shaolin	2020 video game	https://www.metacritic.com/game/9-monkeys-of-shaolin/	Q7889	1300483146	Q14864330
9-years-of-shadows	9 Years of Shadows	2023 video game	https://www.metacritic.com/game/9-years-of-shadows/	Q7889	1300531716	
911-operator	911 Operator	2017 video game	https://www.metacritic.com/game/911-operator/	Q7889	1300459530	
99bullets	99Bullets	2011 video game	https://www.metacritic.com/game/99bullets/	Q7889	1300098286	Q14864328
99vidas	99Vidas	2017 video game	https://www.metacritic.com/game/99vidas/	Q7889	1300463346	Q14864330
i-doesnt-exist-a-modern-text-adventure	[I] doesn't exist - a modern text adventure	2023 video game	https://www.metacritic.com/game/i-doesnt-exist-a-modern-text-adventure/	Q7889	1300573165	
a-bastards-tale	A Bastard's Tale	2016 video game	https://www.metacritic.com/game/a-bastards-tale/	Q7889	1300433182	Q14864330
a-bird-story	A Bird Story	2014 video game	https://www.metacritic.com/game/a-bird-story/	Q7889	1300175033	
a-boy-and-his-blob	A Boy and His Blob	2009 video game	https://www.metacritic.com/game/a-boy-and-his-blob/	Q7889	1300024585	Q14864328
a-case-of-distrust	A Case of Distrust	2018 video game	https://www.metacritic.com/game/a-case-of-distrust/	Q7889	1300476557	
a-city-sleeps	A City Sleeps	2014 video game	https://www.metacritic.com/game/a-city-sleeps/	Q7889	1300315021	
a-fishermans-tale	A Fisherman's Tale	2019 video game	https://www.metacritic.com/game/a-fishermans-tale/	Q7889	1300489430	
a-fistful-of-gun	A Fistful of Gun	2015 video game	https://www.metacritic.com/game/a-fistful-of-gun/	Q7889	1300313221	
a-fold-apart	A Fold Apart	2020 video game	https://www.metacritic.com/game/a-fold-apart/	Q7889	1300487515	Q14864328
a-game-of-dwarves	A Game of Dwarves	2012 video game	https://www.metacritic.com/game/a-game-of-dwarves/	Q7889	1300132209	
a-game-of-thrones-genesis	A Game of Thrones: Genesis	2011 video game	https://www.metacritic.com/game/a-game-of-thrones-genesis/	Q7889	1300080955	
a-golden-wake	A Golden Wake	2014 video game	https://www.metacritic.com/game/a-golden-wake/	Q7889	1300293650	
a-gummys-life	A Gummy's Life	2018 video game	https://www.metacritic.com/game/a-gummys-life/	Q7889	1300464848	
a-hat-in-time	A Hat in Time	2017 video game	https://www.metacritic.com/game/a-hat-in-time/	Q7889	1300250619	
a-highland-song	A Highland Song	2023 video game	https://www.metacritic.com/game/a-highland-song/	Q7889	1300563827	Q14864328
a-jugglers-tale	A Juggler's Tale	2021 video game	https://www.metacritic.com/game/a-jugglers-tale/	Q7889	1300514102	
a-kingdom-for-keflings	A Kingdom for Keflings	2008 video game	https://www.metacritic.com/game/a-kingdom-for-keflings/	Q7889	1300035828	Q14864328
a-knights-quest-2019	A Knight's Quest	2019 video game	https://www.metacritic.com/game/a-knights-quest-2019/	Q7889	1300506473	Q14864330
a-little-golf-journey	A Little Golf Journey	2021 video game	https://www.metacritic.com/game/a-little-golf-journey/	Q7889	1300536938	Q14864328
a-little-to-the-left	A Little To The Left	2022 video game	https://www.metacritic.com/game/a-little-to-the-left/	Q7889	1300538009	
a-memoir-blue	A Memoir Blue	2022 video game	https://www.metacritic.com/game/a-memoir-blue/	Q7889	1300489787	Q14864328
a-musical-story	A Musical Story	2022 video game	https://www.metacritic.com/game/a-musical-story/	Q7889	1300533119	Q14864331
a-new-beginning	A New Beginning	2012 video game	https://www.metacritic.com/game/a-new-beginning/	Q7889	1300033247	
a-normal-lost-phone	A Normal Lost Phone	2018 video game	https://www.metacritic.com/game/a-normal-lost-phone/	Q7889	1300462452	Q14864331
a-pixel-story	A Pixel Story	2015 video game	https://www.metacritic.com/game/a-pixel-story/	Q7889	1300408010	
a-plague-tale-innocence	A Plague Tale: Innocence	2019 video game	https://www.metacritic.com/game/a-plague-tale-innocence/	Q7889	1300468660	Q14864331
a-plague-tale-requiem	A Plague Tale: Requiem	2022 video game	https://www.metacritic.com/game/a-plague-tale-requiem/	Q7889	1300538287	Q14864331
a-quiet-weekend-in-capri	A Quiet Weekend in Capri	2004 video game	https://www.metacritic.com/game/a-quiet-weekend-in-capri/	Q7889	1300020247	Q14864328
a-robot-named-fight	A Robot Named Fight!	2018 video game	https://www.metacritic.com/game/a-robot-named-fight/	Q7889	1300470129	Q14864330
a-rose-in-the-twilight	A Rose in the Twilight	2017 video game	https://www.metacritic.com/game/a-rose-in-the-twilight/	Q7889	1300454285	Q14864330
a-short-hike	A Short Hike	2020 video game	https://www.metacritic.com/game/a-short-hike/	Q7889	1300498909	Q14864328
a-space-for-the-unbound	A Space For The Unbound	2023 video game	https://www.metacritic.com/game/a-space-for-the-unbound/	Q7889	1300509906	Q14864330
a-space-shooter-for-2-bucks	A Space Shooter for 2 Bucks	2010 video game	https://www.metacritic.com/game/a-space-shooter-for-2-bucks/	Q7889	1300093015	Q14864330
a-story-about-my-uncle	A Story About My Uncle	2012 video game	https://www.metacritic.com/game/a-story-about-my-uncle/	Q7889	1300150492	
a-total-war-saga-thrones-of-britannia	A Total War Saga: Thrones of Britannia	2018 video game	https://www.metacritic.com/game/a-total-war-saga-thrones-of-britannia/	Q7889	1300469334	
a-total-war-saga-troy	A Total War Saga: TROY	2020 video game	https://www.metacritic.com/game/a-total-war-saga-troy/	Q7889	1300506863	Q14864330
a-valley-without-wind	A Valley Without Wind	2012 video game	https://www.metacritic.com/game/a-valley-without-wind/	Q7889	1300098304	Q14864330
a-vampyre-story	A Vampyre Story	2008 video game	https://www.metacritic.com/game/a-vampyre-story/	Q7889	1300024120	Q14864330
a-virus-named-tom	A Virus Named TOM	2012 video game	https://www.metacritic.com/game/a-virus-named-tom/	Q7889	1300115598	
a-way-out	A Way Out	2018 video game	https://www.metacritic.com/game/a-way-out/	Q7889	1300374935	Q14864331
a-witchs-tale	A Witch's Tale	2009 video game	https://www.metacritic.com/game/a-witchs-tale/	Q7889	1300035816	
a-world-of-keflings	A World of Keflings	2010 video game	https://www.metacritic.com/game/a-world-of-keflings/	Q7889	1300083711	
a-train-all-aboard-tourism	A-Train: All Aboard! Tourism	2021 video game	https://www.metacritic.com/game/a-train-all-aboard-tourism/	Q7889	1300526094	Q14864328
a-r-e-s-extinction-agenda-ex	A.R.E.S. Extinction Agenda EX	2013 video game	https://www.metacritic.com/game/a-r-e-s-extinction-agenda-ex/	Q7889	1300175277	
aw-phoenix-festa	A.W.: Phoenix Festa	2016 video game	https://www.metacritic.com/game/aw-phoenix-festa/	Q7889	1300451446	Q14864330
aaaaaaaaaaaaaaaaaaaaaaaaa-a-reckless-disregard-for	AaaaaAAaaaAAAaaAAAAaAAAAA!!!: A Reckless Disregard for Gravity	2009 video game	https://www.metacritic.com/game/aaaaaaaaaaaaaaaaaaaaaaaaa-a-reckless-disregard-for/	Q7889	1300042456	
aaero	Aaero	2017 video game	https://www.metacritic.com/game/aaero/	Q7889	1300462949	
aaero-complete-edition	Aaero: Complete Edition	2018 video game	https://www.metacritic.com/game/aaero-complete-edition/	Q7889	1300494087	
aarklash-legacy	Aarklash: Legacy	2013 video game	https://www.metacritic.com/game/aarklash-legacy/	Q7889	1300169730	
aarus-awakening	Aaru's Awakening	2015 video game	https://www.metacritic.com/game/aarus-awakening/	Q7889	1300398137	Q14864328
abermore	Abermore	2022 video game	https://www.metacritic.com/game/abermore/	Q7889	1300564198	
absolute-drift	Absolute Drift	2020 video game	https://www.metacritic.com/game/absolute-drift/	Q7889	1300414531	Q14864328
absolver	Absolver	2017 video game	https://www.metacritic.com/game/absolver/	Q7889	1300457392	
abyss-2012	Abyss (2012)	2014 video game	https://www.metacritic.com/game/abyss-2012/	Q7889	1300147483	Q14864328
abyss-odyssey	Abyss Odyssey	2014 video game	https://www.metacritic.com/game/abyss-odyssey/	Q7889	1300251281	Q14864330
abyss-odyssey-extended-dream-edition	Abyss Odyssey: Extended Dream Edition	2015 video game	https://www.metacritic.com/game/abyss-odyssey-extended-dream-edition/	Q7889	1300446672	Q14864330
abzu	ABZU	2016 video game	https://www.metacritic.com/game/abzu/	Q7889	1300287020	Q14864328
ac-dc-live-rock-band-track-pack	AC/DC Live: Rock Band Track Pack	2008 video game	https://www.metacritic.com/game/ac-dc-live-rock-band-track-pack/	Q7889	1300040713	Q14864330
academy-of-champions-soccer	Academy of Champions: Soccer	2009 video game	https://www.metacritic.com/game/academy-of-champions-soccer/	Q7889	1300043899	Q14864328
accel-world-vs-sword-art-online-millennium	Accel World vs. Sword Art Online: Millennium Twilight	2017 video game	https://www.metacritic.com/game/accel-world-vs-sword-art-online-millennium/	Q7889	1300461238	Q14864330
acceleration-of-suguri-x-edition	Acceleration of SUGURI X-Edition	2011 video game	https://www.metacritic.com/game/acceleration-of-suguri-x-edition/	Q7889	1300097562	
ace-angler-fishing-spirits	Ace Angler: Fishing Spirits	2022 video game	https://www.metacritic.com/game/ace-angler-fishing-spirits/	Q7889	1300573048	Q14864330
ace-attorney-investigations-miles-edgeworth	Ace Attorney Investigations: Miles Edgeworth	2010 video game	https://www.metacritic.com/game/ace-attorney-investigations-miles-edgeworth/	Q7889	1300035126	Q14864330
ace-banana	Ace Banana	2016 video game	https://www.metacritic.com/game/ace-banana/	Q7889	1300460118	
ace-combat-04-shattered-skies	Ace Combat 04: Shattered Skies	2001 video game	https://www.metacritic.com/game/ace-combat-04-shattered-skies/	Q7889	1300003229	Q14864328
ace-combat-2	Ace Combat 2	1997 video game	https://www.metacritic.com/game/ace-combat-2/	Q7889	1300000366	Q14864330
ace-combat-5-the-unsung-war	Ace Combat 5: The Unsung War	2004 video game	https://www.metacritic.com/game/ace-combat-5-the-unsung-war/	Q7889	1300005011	Q14864330
ace-combat-6-fires-of-liberation	Ace Combat 6: Fires of Liberation	2007 video game	https://www.metacritic.com/game/ace-combat-6-fires-of-liberation/	Q7889	1300030539	Q14864330
ace-combat-7-skies-unknown	Ace Combat 7: Skies Unknown	2019 video game	https://www.metacritic.com/game/ace-combat-7-skies-unknown/	Q7889	1300453497	Q14864330
ace-combat-advance	Ace Combat Advance	2005 video game	https://www.metacritic.com/game/ace-combat-advance/	Q7889	1300022867	Q14864328
ace-combat-assault-horizon-enhanced-edition	Ace Combat Assault Horizon: Enhanced Edition	2013 video game	https://www.metacritic.com/game/ace-combat-assault-horizon-enhanced-edition/	Q7889	1300082914	Q14864330
ace-combat-infinity	Ace Combat Infinity	2014 video game	https://www.metacritic.com/game/ace-combat-infinity/	Q7889	1300190026	Q14864330
ace-combat-x-skies-of-deception	Ace Combat X: Skies of Deception	2006 video game	https://www.metacritic.com/game/ace-combat-x-skies-of-deception/	Q7889	1300026771	Q14864330
ace-combat-zero-the-belkan-war	Ace Combat Zero: The Belkan War	2006 video game	https://www.metacritic.com/game/ace-combat-zero-the-belkan-war/	Q7889	1300025539	Q14864330
ace-combat-assault-horizon	Ace Combat: Assault Horizon	2011 video game	https://www.metacritic.com/game/ace-combat-assault-horizon/	Q7889	1300082913	Q14864330
ace-combat-assault-horizon-legacy	Ace Combat: Assault Horizon Legacy	2011 video game	https://www.metacritic.com/game/ace-combat-assault-horizon-legacy/	Q7889	1300087453	Q14864330
ace-combat-assault-horizon-legacy-plus	Ace Combat: Assault Horizon Legacy+	2015 video game	https://www.metacritic.com/game/ace-combat-assault-horizon-legacy-plus/	Q7889	1300389008	Q14864330
ace-combat-joint-assault	Ace Combat: Joint Assault	2010 video game	https://www.metacritic.com/game/ace-combat-joint-assault/	Q7889	1300066981	Q14864330
ace-of-spades-battle-builder	Ace of Spades: Battle Builder	2012 video game	https://www.metacritic.com/game/ace-of-spades-battle-builder/	Q7889	1300163276	
aces-of-the-galaxy	Aces of the Galaxy	2008 video game	https://www.metacritic.com/game/aces-of-the-galaxy/	Q7889	1300033735	
aces-of-the-luftwaffe-squadron	Aces of the Luftwaffe: Squadron	2017 video game	https://www.metacritic.com/game/aces-of-the-luftwaffe-squadron/	Q7889	1300473222	
achilles-legends-untold	Achilles: Legends Untold	2023 video game	https://www.metacritic.com/game/achilles-legends-untold/	Q7889	1300540605	Q14864330
achron	Achron	2011 video game	https://www.metacritic.com/game/achron/	Q7889	1300065952	
achtung-cthulhu-tactics	Achtung! Cthulhu Tactics	2018 video game	https://www.metacritic.com/game/achtung-cthulhu-tactics/	Q7889	1300482569	
acorn-tactics	ACORN Tactics	2017 video game	https://www.metacritic.com/game/acorn-tactics/	Q7889	1300479106	
act-of-aggression	Act of Aggression	2015 video game	https://www.metacritic.com/game/act-of-aggression/	Q7889	1300307969	
act-of-war-direct-action	Act of War: Direct Action	2005 video game	https://www.metacritic.com/game/act-of-war-direct-action/	Q7889	1300021625	Q14864330
act-of-war-high-treason	Act of War: High Treason	2006 video game	https://www.metacritic.com/game/act-of-war-high-treason/	Q7889	1300021626	Q14864330
action-bass	Action Bass	2000 video game	https://www.metacritic.com/game/action-bass/	Q7889	1300002806	Q14864328
action-henk	Action Henk	2016 video game	https://www.metacritic.com/game/action-henk/	Q7889	1300297277	Q14864328
active-life-extreme-challenge	Active Life: Extreme Challenge	2009 video game	https://www.metacritic.com/game/active-life-extreme-challenge/	Q7889	1300043704	Q14864328
active-soccer-2-dx	Active Soccer 2 DX	2016 video game	https://www.metacritic.com/game/active-soccer-2-dx/	Q7889	1300394345	Q14864328
activision-anthology	Activision Anthology	2002 video game	https://www.metacritic.com/game/activision-anthology/	Q7889	1300005041	Q14864328
activision-hits-remixed	Activision Hits Remixed	2006 video game	https://www.metacritic.com/game/activision-hits-remixed/	Q7889	1300028269	Q14864328
actraiser-renaissance	ActRaiser Renaissance	2021 video game	https://www.metacritic.com/game/actraiser-renaissance/	Q7889	1300543817	
actual-sunlight	Actual Sunlight	2015 video game	https://www.metacritic.com/game/actual-sunlight/	Q7889	1300172157	Q14864331
ad-infinitum	Ad Infinitum	2023 video game	https://www.metacritic.com/game/ad-infinitum/	Q7889	1300467772	Q14864331
adams-venture-chronicles	Adam's Venture Chronicles	2014 video game	https://www.metacritic.com/game/adams-venture-chronicles/	Q7889	1300239109	Q14864328
adams-venture-origins	Adam's Venture: Origins	2016 video game	https://www.metacritic.com/game/adams-venture-origins/	Q7889	1300454254	Q14864328
adios	Adios	2021 video game	https://www.metacritic.com/game/adios/	Q7889	1300514925	
adore	Adore	2023 video game	https://www.metacritic.com/game/adore/	Q7889	1300500134	
adr1ft	ADR1FT	2016 video game	https://www.metacritic.com/game/adr1ft/	Q7889	1300264522	Q14864330
adrenalin-misfits	Adrenalin Misfits	2010 video game	https://www.metacritic.com/game/adrenalin-misfits/	Q7889	1300079126	Q14864328
advance-guardian-heroes	Advance Guardian Heroes	2004 video game	https://www.metacritic.com/game/advance-guardian-heroes/	Q7889	1300021213	Q14864328
advance-wars	Advance Wars	2001 video game	https://www.metacritic.com/game/advance-wars/	Q7889	1300003396	Q14864328
advance-wars-1-plus-2-re-boot-camp	Advance Wars 1 + 2: Re-Boot Camp	2023 video game	https://www.metacritic.com/game/advance-wars-1-plus-2-re-boot-camp/	Q7889	1300538375	
advance-wars-2-black-hole-rising	Advance Wars 2: Black Hole Rising	2003 video game	https://www.metacritic.com/game/advance-wars-2-black-hole-rising/	Q7889	1300018125	Q14864328
advance-wars-days-of-ruin	Advance Wars: Days of Ruin	2008 video game	https://www.metacritic.com/game/advance-wars-days-of-ruin/	Q7889	1300033741	
advance-wars-dual-strike	Advance Wars: Dual Strike	2005 video game	https://www.metacritic.com/game/advance-wars-dual-strike/	Q7889	1300022706	Q14864328
advent-rising	Advent Rising	2005 video game	https://www.metacritic.com/game/advent-rising/	Q7889	1300018364	Q14864330
adventure-island-the-beginning	Adventure Island: The Beginning	2009 video game	https://www.metacritic.com/game/adventure-island-the-beginning/	Q7889	1300043288	Q14864328
adventure-pinball-forgotten-island	Adventure Pinball: Forgotten Island	2001 video game	https://www.metacritic.com/game/adventure-pinball-forgotten-island/	Q7889	1300003301	Q14864328
adventure-time-explore-the-dungeon-because-i-don	Adventure Time: Explore the Dungeon Because I DON'T KNOW!	2013 video game	https://www.metacritic.com/game/adventure-time-explore-the-dungeon-because-i-don/	Q7889	1300182628	
adventure-time-finn-and-jake-investigations	Adventure Time: Finn & Jake Investigations	2015 video game	https://www.metacritic.com/game/adventure-time-finn-and-jake-investigations/	Q7889	1300421425	
adventure-time-hey-ice-king-whyd-you-steal-our	Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!!	2012 video game	https://www.metacritic.com/game/adventure-time-hey-ice-king-whyd-you-steal-our/	Q7889	1300137848	
adventure-time-pirates-of-the-enchiridion	Adventure Time: Pirates of the Enchiridion	2018 video game	https://www.metacritic.com/game/adventure-time-pirates-of-the-enchiridion/	Q7889	1300479625	
adventures-of-mana	Adventures of Mana	2016 video game	https://www.metacritic.com/game/adventures-of-mana/	Q7889	1300451804	
adventures-of-pip	Adventures of Pip	2015 video game	https://www.metacritic.com/game/adventures-of-pip/	Q7889	1300410069	
adventures-to-go	Adventures to Go!	2009 video game	https://www.metacritic.com/game/adventures-to-go/	Q7889	1300043942	
aedis-eclipse-generation-of-chaos	Aedis Eclipse: Generation of Chaos	2007 video game	https://www.metacritic.com/game/aedis-eclipse-generation-of-chaos/	Q7889	1300026622	
aegis-defenders	Aegis Defenders	2018 video game	https://www.metacritic.com/game/aegis-defenders/	Q7889	1300467565	
